,0,1
0,0,0
1,608,0
2,633,0
3,0,1
4,1,1
5,2,1
6,4,1
7,606,1
8,608,1
9,609,1
10,0,2
11,1,2
12,2,2
13,3,2
14,5,2
15,608,2
16,0,3
17,2,3
18,3,3
19,4,3
20,5,3
21,11,3
22,132,3
23,610,3
24,0,4
25,1,4
26,3,4
27,4,4
28,33,4
29,606,4
30,607,4
31,609,4
32,610,4
33,611,4
34,2,5
35,3,5
36,5,5
37,6,5
38,11,5
39,15,5
40,132,5
41,610,5
42,619,5
43,1,6
44,2,6
45,3,6
46,4,6
47,5,6
48,6,6
49,9,6
50,18,6
51,133,6
52,611,6
53,2,7
54,7,7
55,8,8
56,15,8
57,19,8
58,21,8
59,22,8
60,23,8
61,24,8
62,25,8
63,26,8
64,46,8
65,169,8
66,170,8
67,619,8
68,5,9
69,6,9
70,9,9
71,18,9
72,19,9
73,25,9
74,619,9
75,10,10
76,12,10
77,3,11
78,11,11
79,35,11
80,2,12
81,5,12
82,12,12
83,14,12
84,13,13
85,15,13
86,42,13
87,3,14
88,5,14
89,12,14
90,14,14
91,2,15
92,3,15
93,5,15
94,11,15
95,13,15
96,15,15
97,20,15
98,22,15
99,24,15
100,37,15
101,349,15
102,15,16
103,16,16
104,21,16
105,37,16
106,17,17
107,5,18
108,6,18
109,9,18
110,18,18
111,19,18
112,25,18
113,619,18
114,11,19
115,19,19
116,21,19
117,22,19
118,23,19
119,24,19
120,26,19
121,619,19
122,11,20
123,20,20
124,22,20
125,23,20
126,19,21
127,21,21
128,22,21
129,23,21
130,24,21
131,46,21
132,13,22
133,15,22
134,19,22
135,20,22
136,21,22
137,22,22
138,23,22
139,24,22
140,11,23
141,19,23
142,20,23
143,21,23
144,22,23
145,23,23
146,24,23
147,8,24
148,13,24
149,15,24
150,19,24
151,20,24
152,21,24
153,22,24
154,23,24
155,24,24
156,25,24
157,46,24
158,619,24
159,9,25
160,15,25
161,18,25
162,19,25
163,21,25
164,22,25
165,23,25
166,24,25
167,25,25
168,612,25
169,619,25
170,5,26
171,8,26
172,9,26
173,18,26
174,19,26
175,26,26
176,31,26
177,39,26
178,619,26
179,27,27
180,28,28
181,39,28
182,29,29
183,5,30
184,30,30
185,52,30
186,5,31
187,26,31
188,31,31
189,6,32
190,15,32
191,32,32
192,40,32
193,4,33
194,33,33
195,606,33
196,607,33
197,609,33
198,610,33
199,611,33
200,34,34
201,35,34
202,36,34
203,42,34
204,34,35
205,35,35
206,36,35
207,38,35
208,41,35
209,34,36
210,35,36
211,36,36
212,37,36
213,38,36
214,41,36
215,42,36
216,34,37
217,35,37
218,36,37
219,37,37
220,38,37
221,40,37
222,42,37
223,44,37
224,46,37
225,35,38
226,36,38
227,37,38
228,38,38
229,41,38
230,42,38
231,43,38
232,39,39
233,46,39
234,36,40
235,37,40
236,38,40
237,40,40
238,42,40
239,35,41
240,41,41
241,48,41
242,34,42
243,36,42
244,37,42
245,38,42
246,42,42
247,35,43
248,37,43
249,38,43
250,43,43
251,44,43
252,36,44
253,37,44
254,38,44
255,40,44
256,42,44
257,43,44
258,44,44
259,45,44
260,40,45
261,42,45
262,44,45
263,45,45
264,21,46
265,36,46
266,37,46
267,38,46
268,39,46
269,42,46
270,46,46
271,47,47
272,331,47
273,332,47
274,48,48
275,0,49
276,1,49
277,2,49
278,49,49
279,608,49
280,50,50
281,357,50
282,362,50
283,363,50
284,365,50
285,390,50
286,51,51
287,2,52
288,30,52
289,49,52
290,52,52
291,53,53
292,55,53
293,39,54
294,53,54
295,54,54
296,55,54
297,53,55
298,54,55
299,55,55
300,3,56
301,4,56
302,5,56
303,6,56
304,11,56
305,56,56
306,57,56
307,58,56
308,59,56
309,67,56
