Protein,Delta_RMSD_loss,Delta_Steric_loss,Delta_Angle_Dev_loss
Tca01g00001.t1,-0.096,-1.877,0.01
Tca01g00002.t1,-0.034,-4.861,0.003
Tca01g00003.t1,-0.035,-4.827,0.003
Tca01g00004.t1,-0.047,-4.952,0.004
Tca01g00005.t1,-0.039,-0.595,0.005
Tca01g00006.t1,-0.053,-1.455,0.007
Tca01g00006.t2,-0.051,-1.223,0.008
Tca01g00007.t1,-0.024,-1.31,0.002
Tca01g00008.t1,-0.023,-1.088,0.002
Tca01g00009.t1,-0.043,-5.387,0.006
Tca01g00009.t2,-0.024,-22.133,0.012
Tca01g00010.t1,-0.033,-11.564,0.003
Tca01g00012.t1,-0.034,-0.292,0.003
Tca01g00013.t1,-0.027,-10.227,0.002
Tca01g00014.t1,-0.029,-1.016,0.002
Tca01g00015.t1,-0.032,-2.491,0.003
Tca01g00016.t1,-0.027,-7.151,0.002
Tca01g00017.t1,-0.028,-6.09,0.002
Tca01g00018.t1,-0.03,-2.791,0.002
Tca01g00018.t2,-0.029,-2.836,0.002
Tca01g00019.t1,-0.043,-6.756,0.003
Tca01g00020.t1,-0.031,-7.549,0.002
Tca01g00021.t1,-0.029,-2.568,0.002
Tca01g00022.t1,-0.049,-0.435,0.004
Tca01g00023.t1,-0.021,-5.546,0.004
Tca01g00025.t1,-0.024,-5.703,0.001
Tca01g00026.t1,-0.025,-6.113,0.002
Tca01g00027.t1,-0.075,-0.029,0.006
Tca01g00028.t1,-0.025,-1.824,0.003
Tca01g00029.t1,-0.035,-3.872,0.004
Tca01g00030.t1,-0.023,-7.36,0.001
Tca01g01164.t1,-0.031,-3.408,0.002
Tca01g01165.t1,-0.07,-0.932,0.011
Tca01g01166.t1,-0.032,-4.1,0.002
Tca01g01167.t1,-0.062,-16.219,0.004
Tca01g01168.t1,-0.062,-1.81,0.009
Tca01g01169.t1,-0.031,-9.999,0.002
Tca01g00011.t1,-0.07,-1.47,0.009
Tca01g00024.t1,-0.022,-13.224,0.003
Tca01g00036.t2,-0.022,-9.009,0.001
Tca01g00045.t1,-0.047,-2.906,0.008
Tca01g00067.t1,-0.029,-4.07,0.002
Tca01g00079.t1,-0.07,-0.274,0.009
Tca01g00098.t1,-0.044,-1.041,0.007
Tca01g01171.t1,-0.022,-15.458,0.003
Tca01g01171.t2,-0.021,-16.104,0.003
Tca01g01172.t1,-0.028,-5.305,0.001
Tca01g01172.t2,-0.028,-5.352,0.001
Tca01g01172.t3,-0.027,-3.516,0.001
Tca01g01173.t1,-0.038,-9.735,0.004
Tca01g01174.t1,-0.03,-3.05,0.003
Tca01g01175.t1,-0.024,-2.696,0.002
Tca01g01176.t1,-0.019,-12.405,0.002
Tca01g01176.t2,-0.019,-12.444,0.002
Tca01g01177.t1,-0.037,-5.863,0.006
Tca01g01178.t1,-0.035,-5.783,0.007
Tca01g00092.t1,-0.028,-4.768,0.002
Tca01g00093.t1,-0.025,-57.322,0.003
Tca01g00094.t1,-0.023,-21.016,0.01
Tca01g00095.t1,-0.024,-18.256,0.003
Tca01g00096.t1,-0.014,-12.353,0.006
Tca01g00097.t1,-0.033,-8.471,0.002
Tca01g00183.t1,-0.017,-11.548,0.002
Tca01g00184.t1,-0.03,-5.738,0.002
Tca01g00185.t1,-0.027,-13.255,0.004
Tca01g00186.t1,-0.026,-8.239,0.002
Tca01g00187.t1,-0.052,-0.98,0.006
Tca01g00188.t1,-0.025,-7.683,0.002
Tca01g00617.t1,-0.038,-0.494,0.005
Tca01g00618.t1,-0.035,-5.292,0.004
Tca01g00619.t1,-0.02,-1.113,0.005
Tca01g00620.t1,-0.031,-1.541,0.003
Tca01g00621.t1,-0.061,-6.538,0.004
Tca01g00622.t1,-0.064,-10.011,0.006
Tca01g00624.t1,-0.021,-8.155,0.002
Tca01g00625.t1,-0.017,-9.906,0.003
Tca01g00626.t1,-0.029,-5.158,0.002
Tca01g00627.t1,-0.024,-4.501,0.002
Tca01g00628.t1,-0.044,-0.847,0.003
Tca01g00629.t1,-0.021,-8.761,0.002
Tca01g00630.t1,-0.022,-2.914,0.002
Tca01g00631.t1,-0.042,-0.407,0.008
Tca01g00632.t1,-0.036,-1.585,0.008
Tca01g00633.t1,-0.017,-10.414,0.003
Tca01g00634.t1,-0.043,-1.182,0.006
Tca01g00635.t1,-0.042,-3.842,0.003
Tca01g00636.t1,-0.039,-11.68,0.003
Tca01g00638.t1,-0.024,-7.305,0.002
Tca01g00639.t1,-0.025,-1.561,0.005
Tca01g00640.t1,-0.022,-11.023,0.002
Tca01g00641.t1,-0.048,-2.353,0.004
Tca01g00642.t1,-0.034,-2.066,0.006
Tca01g00643.t1,-0.042,-3.009,0.005
Tca01g01180.t1,-0.046,-1.238,0.006
Tca01g01181.t1,-0.052,-2.667,0.005
Tca01g01182.t1,-0.041,-0.811,0.005
Tca01g01183.t1,-0.025,-13.688,0.005
Tca01g01184.t1,-0.039,-3.247,0.004
Tca01g01185.t1,-0.042,-1.288,0.003
Tca01g01186.t1,-0.049,-5.334,0.006
Tca01g01186.t2,-0.044,-4.393,0.005
Tca01g01187.t1,-0.023,-4.248,0.004
Tca01g01188.t1,-0.035,-1.654,0.007
Tca01g01189.t1,-0.052,-1.125,0.005
Tca01g01190.t1,-0.035,-7.715,0.004
Tca01g01191.t1,-0.021,-12.341,0.003
