Protein,Initial_RMSD_loss,Initial_Steric_loss,Initial_Angle_Dev_loss,Final_RMSD_loss,Final_Steric_loss,Final_Angle_Dev_loss
Tca01g00001.t1,0.279,1.897,0,0.183,0.02,0.01
Tca01g00002.t1,0.158,4.863,0,0.124,0.002,0.003
Tca01g00003.t1,0.166,4.829,0,0.131,0.002,0.003
Tca01g00004.t1,0.192,4.969,0,0.145,0.017,0.004
Tca01g00005.t1,0.157,0.596,0,0.118,0.001,0.005
Tca01g00006.t1,0.221,1.513,0,0.168,0.058,0.007
Tca01g00006.t2,0.213,1.225,0,0.162,0.002,0.008
Tca01g00007.t1,0.123,1.313,0,0.099,0.003,0.002
Tca01g00008.t1,0.12,1.091,0,0.097,0.003,0.002
Tca01g00009.t1,0.26,6.13,0,0.217,0.743,0.006
Tca01g00009.t2,0.251,22.363,0,0.227,0.23,0.012
Tca01g00010.t1,0.167,11.568,0,0.134,0.004,0.003
Tca01g00012.t1,0.138,0.294,0,0.104,0.002,0.003
Tca01g00013.t1,0.172,10.755,0,0.145,0.528,0.002
Tca01g00014.t1,0.138,1.021,0,0.109,0.005,0.002
Tca01g00015.t1,0.162,2.702,0,0.13,0.211,0.003
Tca01g00016.t1,0.139,7.19,0,0.112,0.039,0.002
Tca01g00017.t1,0.149,6.1,0,0.121,0.01,0.002
Tca01g00018.t1,0.138,2.799,0,0.108,0.008,0.002
Tca01g00018.t2,0.138,2.842,0,0.109,0.006,0.002
Tca01g00019.t1,0.192,6.76,0,0.149,0.004,0.003
Tca01g00020.t1,0.171,7.76,0,0.14,0.211,0.002
Tca01g00021.t1,0.148,2.611,0,0.119,0.043,0.002
Tca01g00022.t1,0.171,0.441,0,0.122,0.006,0.004
Tca01g00023.t1,0.154,5.569,0,0.133,0.023,0.004
Tca01g00025.t1,0.136,5.713,0,0.112,0.01,0.001
Tca01g00026.t1,0.14,6.12,0,0.115,0.007,0.002
Tca01g00027.t1,0.186,0.03,0,0.111,0.001,0.006
Tca01g00028.t1,0.138,1.831,0,0.113,0.007,0.003
Tca01g00029.t1,0.159,3.876,0,0.124,0.004,0.004
Tca01g00030.t1,0.134,7.393,0,0.111,0.033,0.001
Tca01g01164.t1,0.157,3.415,0,0.126,0.007,0.002
Tca01g01165.t1,0.237,0.966,0,0.167,0.034,0.011
Tca01g01166.t1,0.149,4.141,0,0.117,0.041,0.002
Tca01g01167.t1,0.283,16.996,0,0.221,0.777,0.004
Tca01g01168.t1,0.217,1.86,0,0.155,0.05,0.009
Tca01g01169.t1,0.162,10.028,0,0.131,0.029,0.002
Tca01g00011.t1,0.256,1.475,0,0.186,0.005,0.009
Tca01g00024.t1,0.166,13.276,0,0.144,0.052,0.003
Tca01g00036.t2,0.138,9.282,0,0.116,0.273,0.001
Tca01g00045.t1,0.196,2.915,0,0.149,0.009,0.008
Tca01g00067.t1,0.154,4.073,0,0.125,0.003,0.002
Tca01g00079.t1,0.218,0.276,0,0.148,0.002,0.009
Tca01g00098.t1,0.177,1.044,0,0.133,0.003,0.007
Tca01g01171.t1,0.166,15.473,0,0.144,0.015,0.003
Tca01g01171.t2,0.165,16.273,0,0.144,0.169,0.003
Tca01g01172.t1,0.146,5.528,0,0.118,0.223,0.001
Tca01g01172.t2,0.147,5.556,0,0.119,0.204,0.001
Tca01g01172.t3,0.138,3.55,0,0.111,0.034,0.001
Tca01g01173.t1,0.201,9.833,0,0.163,0.098,0.004
Tca01g01174.t1,0.152,3.062,0,0.122,0.012,0.003
Tca01g01175.t1,0.146,2.713,0,0.122,0.017,0.002
Tca01g01176.t1,0.15,12.597,0,0.131,0.192,0.002
Tca01g01176.t2,0.15,12.645,0,0.131,0.201,0.002
Tca01g01177.t1,0.22,6.182,0,0.183,0.319,0.006
Tca01g01178.t1,0.185,5.893,0,0.15,0.11,0.007
Tca01g00092.t1,0.162,4.879,0,0.134,0.111,0.002
Tca01g00093.t1,0.259,79.745,0,0.234,22.423,0.003
Tca01g00094.t1,0.226,21.058,0,0.203,0.042,0.01
Tca01g00095.t1,0.182,18.424,0,0.158,0.168,0.003
Tca01g00096.t1,0.17,12.615,0,0.156,0.262,0.006
Tca01g00097.t1,0.148,8.481,0,0.115,0.01,0.002
Tca01g00183.t1,0.14,11.575,0,0.123,0.027,0.002
Tca01g00184.t1,0.15,6.101,0,0.12,0.363,0.002
Tca01g00185.t1,0.21,13.452,0,0.183,0.197,0.004
Tca01g00186.t1,0.165,8.511,0,0.139,0.272,0.002
Tca01g00187.t1,0.179,0.981,0,0.127,0.001,0.006
Tca01g00188.t1,0.158,8.002,0,0.133,0.319,0.002
Tca01g00617.t1,0.136,0.494,0,0.098,0,0.005
Tca01g00618.t1,0.18,5.629,0,0.145,0.337,0.004
Tca01g00619.t1,0.157,1.119,0,0.137,0.006,0.005
Tca01g00620.t1,0.167,1.548,0,0.136,0.007,0.003
Tca01g00621.t1,0.231,6.601,0,0.17,0.063,0.004
Tca01g00622.t1,0.261,10.383,0,0.197,0.372,0.006
Tca01g00624.t1,0.158,8.159,0,0.137,0.004,0.002
Tca01g00625.t1,0.153,9.936,0,0.136,0.03,0.003
Tca01g00626.t1,0.156,5.161,0,0.127,0.003,0.002
Tca01g00627.t1,0.149,4.52,0,0.125,0.019,0.002
Tca01g00628.t1,0.156,0.848,0,0.112,0.001,0.003
Tca01g00629.t1,0.153,8.778,0,0.132,0.017,0.002
Tca01g00630.t1,0.147,2.931,0,0.125,0.017,0.002
Tca01g00631.t1,0.145,0.407,0,0.103,0,0.008
Tca01g00632.t1,0.174,1.587,0,0.138,0.002,0.008
Tca01g00633.t1,0.153,10.418,0,0.136,0.004,0.003
Tca01g00634.t1,0.16,1.185,0,0.117,0.003,0.006
Tca01g00635.t1,0.173,3.85,0,0.131,0.008,0.003
Tca01g00636.t1,0.227,11.805,0,0.188,0.125,0.003
Tca01g00638.t1,0.159,7.311,0,0.135,0.006,0.002
Tca01g00639.t1,0.152,1.565,0,0.127,0.004,0.005
Tca01g00640.t1,0.153,11.467,0,0.131,0.444,0.002
Tca01g00641.t1,0.191,2.602,0,0.143,0.249,0.004
Tca01g00642.t1,0.17,2.083,0,0.136,0.017,0.006
Tca01g00643.t1,0.183,3.01,0,0.141,0.001,0.005
Tca01g01180.t1,0.193,1.242,0,0.147,0.004,0.006
Tca01g01181.t1,0.198,2.688,0,0.146,0.021,0.005
Tca01g01182.t1,0.146,0.813,0,0.105,0.002,0.005
Tca01g01183.t1,0.165,13.707,0,0.14,0.019,0.005
Tca01g01184.t1,0.175,3.248,0,0.136,0.001,0.004
Tca01g01185.t1,0.17,1.291,0,0.128,0.003,0.003
Tca01g01186.t1,0.222,5.421,0,0.173,0.087,0.006
Tca01g01186.t2,0.205,4.412,0,0.161,0.019,0.005
